PaymentNumber,Date,Payment,Principal,Interest,Balance
0,2024-01-01,0.00,0.00,0.00,550000.00
1,2024-02-01,3057.61,995.11,2062.50,549004.89
2,2024-03-01,3057.61,998.84,2058.77,548006.05
3,2024-04-01,3057.61,1002.59,2055.02,547003.46
4,2024-05-01,3057.61,1006.35,2051.26,545997.11
5,2024-06-01,3057.61,1010.12,2047.49,544986.99
6,2024-07-01,3057.61,1013.91,2043.70,543973.08
7,2024-08-01,3057.61,1017.71,2039.90,542955.37
8,2024-09-01,3057.61,1021.53,2036.08,541933.84
9,2024-10-01,3057.61,1025.36,2032.25,540908.48
10,2024-11-01,3057.61,1029.20,2028.41,539879.28
11,2024-12-01,3057.61,1033.06,2024.55,538846.22
12,2025-01-01,3057.61,1036.94,2020.67,537809.28
13,2025-02-01,3057.61,1040.83,2016.78,536768.45
14,2025-03-01,3057.61,1044.73,2012.88,535723.72
15,2025-04-01,3057.61,1048.65,2008.96,534675.07
16,2025-05-01,3057.61,1052.58,2005.03,533622.49
17,2025-06-01,3057.61,1056.53,2001.08,532565.96
18,2025-07-01,3057.61,1060.49,1997.12,531505.47
19,2025-08-01,3057.61,1064.46,1993.15,530441.01
20,2025-09-01,3057.61,1068.46,1989.15,529372.55
21,2025-10-01,3057.61,1072.46,1985.15,528300.09
22,2025-11-01,3057.61,1076.48,1981.13,527223.61
23,2025-12-01,3057.61,1080.52,1977.09,526143.09
24,2026-01-01,3057.61,1084.57,1973.04,525058.52
