TransactionDate,PostingDate,Description,Amount,Category
2026-01-02,2026-01-03,UBER EATS TORONTO ON,45.67,Food & Dining
2026-01-03,2026-01-04,AIR CANADA TORONTO ON,567.89,Travel
2026-01-04,2026-01-05,AMAZON.CA,123.45,Shopping
2026-01-05,2026-01-06,SHELL STATION 1204 TORONTO,82.34,Gas & Auto
2026-01-06,2026-01-07,MONTANAS BBQ & BAR TORONTO,89.45,Food & Dining
2026-01-08,2026-01-09,BEST BUY 0910 TORONTO ON,234.56,Shopping
2026-01-09,2026-01-10,SHOPPERS DRUG MART #1456,67.89,Health & Pharmacy
2026-01-10,2026-01-11,PETRO-CANADA 4521 TORONTO,78.90,Gas & Auto
2026-01-11,2026-01-12,STARBUCKS #8834 TORONTO,34.56,Food & Dining
2026-01-12,2026-01-13,BELL MOBILITY TORONTO ON,95.67,Phone & Utilities
2026-01-13,2026-01-14,LCBO #0445 TORONTO ON,67.89,Shopping
2026-01-14,2026-01-15,UBER RIDES TORONTO ON,28.90,Transportation
2026-01-15,2026-01-16,WHOLE FOODS MARKET TORONTO,156.78,Groceries
2026-01-16,2026-01-17,ANTHROPOLOGIE YORKDALE,189.45,Shopping
2026-01-18,2026-01-19,SUSHI ON BLOOR TORONTO ON,123.45,Food & Dining
2026-01-19,2026-01-20,AMAZON.CA,89.99,Shopping
2026-01-20,2026-01-21,CINEPLEX ENTERTAINMENT,45.67,Entertainment
2026-01-21,2026-01-22,EXPEDIA.CA TORONTO ON,234.56,Travel
2026-01-22,2026-01-23,ESSO STATION 2234 TORONTO,75.34,Gas & Auto
2026-01-23,2026-01-24,FRESHII TORONTO ON,23.45,Food & Dining
2026-01-24,2026-01-25,APPLE.COM/BILL ITUNES,12.99,Subscriptions
2026-01-25,2026-01-26,WINNERS #0892 TORONTO ON,89.45,Shopping
2026-01-27,2026-01-28,SPORT CHEK SCARBOROUGH ON,145.67,Shopping
2026-01-28,2026-01-29,THE KEG STEAKHOUSE TORONTO,198.45,Food & Dining
2026-01-30,2026-01-31,INDIGO CHAPTERS TORONTO ON,56.78,Shopping
